time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722054291.1949,2024-07-26 21:24:51.194,neutral,frown,0.95,clench,0.8
1722054291.2262,2024-07-26 21:24:51.226,neutral,frown,0.95,clench,0.8
1722054291.2574,2024-07-26 21:24:51.257,neutral,frown,0.95,clench,0.8
1722054291.2887,2024-07-26 21:24:51.288,neutral,frown,0.95,clench,0.8
1722054291.3199,2024-07-26 21:24:51.319,neutral,frown,0.95,clench,0.8
1722054291.3512,2024-07-26 21:24:51.351,neutral,frown,0.95,clench,0.8
1722054291.3824,2024-07-26 21:24:51.382,neutral,frown,0.95,clench,0.8
1722054291.4137,2024-07-26 21:24:51.413,neutral,frown,0.95,clench,0.8
1722054291.4449,2024-07-26 21:24:51.444,neutral,frown,0.95,clench,0.8
1722054291.4762,2024-07-26 21:24:51.476,neutral,frown,0.95,clench,0.8
1722054291.5074,2024-07-26 21:24:51.507,neutral,frown,0.95,clench,0.8
1722054291.5387,2024-07-26 21:24:51.538,neutral,frown,0.95,clench,0.8
1722054291.5699,2024-07-26 21:24:51.569,neutral,frown,0.95,clench,0.8
1722054291.6012,2024-07-26 21:24:51.601,neutral,frown,0.95,clench,0.8
1722054291.6324,2024-07-26 21:24:51.632,neutral,frown,0.95,clench,0.8
1722054291.6637,2024-07-26 21:24:51.663,neutral,frown,0.95,clench,0.8
1722054291.6949,2024-07-26 21:24:51.694,neutral,frown,0.95,clench,0.8
1722054291.7262,2024-07-26 21:24:51.726,neutral,frown,0.95,clench,0.8
1722054291.7574,2024-07-26 21:24:51.757,neutral,frown,0.95,clench,0.8
1722054291.7887,2024-07-26 21:24:51.788,neutral,frown,0.95,clench,0.8
1722054291.8199,2024-07-26 21:24:51.819,neutral,frown,0.95,clench,0.8
1722054291.8512,2024-07-26 21:24:51.851,neutral,frown,0.95,clench,0.8
1722054291.8824,2024-07-26 21:24:51.882,neutral,frown,0.95,clench,0.8
1722054291.9137,2024-07-26 21:24:51.913,neutral,frown,0.95,clench,0.8
