Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722050306.4799,2024-07-26 20:18:26.479,77,false,0.0,4201.795, 4349.359, 4097.051, 4196.026, 4256.539
1722050306.4877,2024-07-26 20:18:26.487,78,false,0.0,4217.051, 4340.513, 4101.026, 4209.359, 4270.128
1722050306.4955,2024-07-26 20:18:26.495,79,false,0.0,4216.539, 4351.795, 4087.949, 4197.051, 4252.308
1722050306.5034,2024-07-26 20:18:26.503,80,false,0.0,4195.897, 4355.641, 4077.308, 4178.077, 4232.692
1722050306.5112,2024-07-26 20:18:26.511,81,false,0.0,4192.308, 4342.82, 4081.795, 4184.615, 4233.718
1722050306.519,2024-07-26 20:18:26.519,82,false,0.0,4209.231, 4348.974, 4097.308, 4197.308, 4240.0
1722050306.5268,2024-07-26 20:18:26.526,83,false,0.0,4216.282, 4351.539, 4100.897, 4197.308, 4240.385
1722050306.5346,2024-07-26 20:18:26.534,84,false,0.0,4220.0, 4348.846, 4094.615, 4201.539, 4237.82
1722050306.5424,2024-07-26 20:18:26.542,85,false,0.0,4225.513, 4369.615, 4105.897, 4205.641, 4235.897
1722050306.5502,2024-07-26 20:18:26.550,86,false,0.0,4210.769, 4364.872, 4113.718, 4188.333, 4227.18
1722050306.558,2024-07-26 20:18:26.558,87,false,0.0,4197.564, 4329.487, 4094.615, 4170.256, 4211.667
1722050306.5659,2024-07-26 20:18:26.565,88,false,0.0,4209.744, 4332.82, 4088.59, 4175.769, 4212.949
1722050306.5737,2024-07-26 20:18:26.573,89,false,0.0,4208.077, 4346.539, 4098.59, 4183.846, 4224.615
1722050306.5815,2024-07-26 20:18:26.581,90,false,0.0,4187.564, 4337.051, 4084.615, 4183.974, 4216.41
1722050306.5893,2024-07-26 20:18:26.589,91,false,0.0,4192.051, 4351.923, 4072.564, 4192.82, 4206.923
1722050306.5971,2024-07-26 20:18:26.597,92,false,0.0,4203.461, 4356.795, 4085.769, 4199.615, 4215.256
1722050306.6049,2024-07-26 20:18:26.604,93,false,0.0,4195.256, 4317.564, 4086.923, 4192.564, 4213.846
1722050306.6127,2024-07-26 20:18:26.612,94,false,0.0,4199.231, 4320.0, 4082.308, 4192.436, 4208.59
1722050306.6205,2024-07-26 20:18:26.620,95,false,0.0,4210.256, 4361.539, 4099.231, 4197.82, 4223.461
1722050306.6284,2024-07-26 20:18:26.628,96,false,0.0,4195.641, 4354.615, 4106.282, 4192.051, 4226.282
1722050306.6362,2024-07-26 20:18:26.636,97,false,0.0,4180.897, 4331.539, 4094.359, 4192.18, 4205.769
1722050306.644,2024-07-26 20:18:26.644,98,false,0.0,4187.436, 4337.692, 4093.205, 4204.872, 4206.795
1722050306.6518,2024-07-26 20:18:26.651,99,false,0.0,4195.641, 4342.051, 4093.718, 4209.103, 4229.103
1722050306.6596,2024-07-26 20:18:26.659,100,false,0.0,4201.923, 4347.436, 4085.769, 4203.461, 4233.59
1722050306.6674,2024-07-26 20:18:26.667,101,false,0.0,4204.231, 4361.282, 4088.59, 4194.103, 4225.897
1722050306.6752,2024-07-26 20:18:26.675,102,false,0.0,4195.897, 4361.923, 4096.923, 4182.18, 4225.385
1722050306.683,2024-07-26 20:18:26.683,103,false,0.0,4199.487, 4363.974, 4101.795, 4186.923, 4229.744
1722050306.6909,2024-07-26 20:18:26.690,104,false,0.0,4218.974, 4371.026, 4114.615, 4210.256, 4241.539
1722050306.6987,2024-07-26 20:18:26.698,105,false,0.0,4220.385, 4362.18, 4119.231, 4221.923, 4253.974
1722050306.7065,2024-07-26 20:18:26.706,106,false,0.0,4207.692, 4357.308, 4102.18, 4213.333, 4248.333
1722050306.7143,2024-07-26 20:18:26.714,107,false,0.0,4210.128, 4367.564, 4090.641, 4203.461, 4240.641
1722050306.7221,2024-07-26 20:18:26.722,108,false,0.0,4215.769, 4365.513, 4091.923, 4199.744, 4247.949
1722050306.7299,2024-07-26 20:18:26.729,109,false,0.0,4207.436, 4346.539, 4084.487, 4195.641, 4246.154
1722050306.7377,2024-07-26 20:18:26.737,110,false,0.0,4204.231, 4333.846, 4081.154, 4193.077, 4235.513
1722050306.7455,2024-07-26 20:18:26.745,111,false,0.0,4220.256, 4349.487, 4099.103, 4198.205, 4246.923
1722050306.7534,2024-07-26 20:18:26.753,112,false,0.0,4233.205, 4375.513, 4111.795, 4200.128, 4258.974
1722050306.7612,2024-07-26 20:18:26.761,113,false,0.0,4223.077, 4361.795, 4103.59, 4185.897, 4244.103
1722050306.769,2024-07-26 20:18:26.769,114,false,0.0,4207.18, 4330.897, 4097.949, 4174.615, 4236.154
1722050306.7768,2024-07-26 20:18:26.776,115,false,0.0,4207.564, 4338.59, 4102.308, 4182.436, 4248.077
1722050306.7846,2024-07-26 20:18:26.784,116,false,0.0,4217.308, 4354.615, 4107.18, 4190.641, 4250.0
1722050306.7924,2024-07-26 20:18:26.792,117,false,0.0,4226.539, 4354.231, 4118.333, 4193.077, 4250.385
1722050306.8002,2024-07-26 20:18:26.800,118,false,0.0,4231.795, 4363.846, 4126.795, 4193.974, 4259.872
1722050306.808,2024-07-26 20:18:26.808,119,false,0.0,4225.256, 4359.487, 4112.82, 4179.744, 4255.641
1722050306.8159,2024-07-26 20:18:26.815,120,false,0.0,4220.0, 4337.564, 4099.359, 4167.82, 4249.872
1722050306.8237,2024-07-26 20:18:26.823,121,false,0.0,4232.308, 4351.667, 4109.359, 4182.82, 4261.154
1722050306.8315,2024-07-26 20:18:26.831,122,false,0.0,4242.051, 4372.18, 4116.795, 4190.128, 4264.872
1722050306.8393,2024-07-26 20:18:26.839,123,false,0.0,4239.231, 4355.641, 4115.0, 4174.487, 4261.282
1722050306.8471,2024-07-26 20:18:26.847,124,false,0.0,4241.923, 4353.205, 4125.897, 4175.256, 4272.18
1722050306.8549,2024-07-26 20:18:26.854,125,false,0.0,4244.231, 4368.461, 4130.128, 4185.385, 4280.385
1722050306.8627,2024-07-26 20:18:26.862,126,false,0.0,4251.154, 4356.795, 4108.333, 4172.18, 4285.385
1722050306.8705,2024-07-26 20:18:26.870,127,false,0.0,4288.077, 4348.974, 4092.821, 4150.641, 4314.487
1722050306.8784,2024-07-26 20:18:26.878,0,false,0.0,4328.718, 4357.564, 4098.077, 4140.256, 4351.41
1722050306.8862,2024-07-26 20:18:26.886,1,false,0.0,4348.333, 4345.641, 4102.051, 4142.436, 4376.282
1722050306.894,2024-07-26 20:18:26.894,2,false,0.0,4386.282, 4339.872, 4101.282, 4156.282, 4409.359
1722050306.9018,2024-07-26 20:18:26.901,3,false,0.0,4441.795, 4364.744, 4102.18, 4165.0, 4449.487
