time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,Timestamp,Active Attention or Focus,Attention or Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress,Timestamp,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,38,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,39,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,40,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,41,0,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,42,0,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,43,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,44,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,45,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,46,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,47,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,48,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,49,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,50,1,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,51,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,52,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,53,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,54,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,55,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,56,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,57,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,58,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,59,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,60,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,61,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,62,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,63,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/16 04:22:40,64,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/17 16:47:12,65,2,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/17 16:47:12,66,2,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/17 16:47:12,67,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/17 16:47:12,68,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/17 16:47:12,69,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/17 16:47:12,70,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/17 16:47:12,71,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/17 16:47:12,72,3,3,0
