time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,Timestamp,Active Attention or Focus,Attention or Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress,Timestamp,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,42,3,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,43,4,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,44,4,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,45,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,46,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,47,3,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,48,3,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,49,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,50,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,51,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,52,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,53,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,54,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,55,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,56,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,57,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,58,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,59,3,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,60,3,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,61,2,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,62,2,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,63,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,64,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,65,4,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,66,4,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,67,4,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,68,4,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,69,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/12 19:54:56,70,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/14 08:19:28,71,1,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/14 08:19:28,72,1,0,2
